lead_id,club_name,contact_email,country,signup_date,channel,campaign_id,lead_score
1,Local FC 150,local.fc.150.888@clubmail.co,Canada,2025-02-21,facebook,5,57
2,Local FC 22,local.fc.22.700@hotmail.com,Wales,2025-01-31,referral,8,90
3,Local FC 167,local.fc.167.656@contacts.org,Germany,2025-06-03,organic,4,55
4,Local FC 39,local.fc.39.936@clubmail.co,Germany,2024-09-22,paid_search,10,75
5,Local FC 82,local.fc.82.763@contacts.org,India,2025-07-06,email,5,70
6,Local FC 83,local.fc.83.49@hotmail.com,Wales,2025-07-05,partnership,3,50
7,Local FC 89,local.fc.89.542@contacts.org,England,2025-03-29,partnership,7,21
8,Local FC 165,local.fc.165.349@example.com,USA,2025-10-07,organic,6,48
9,Local FC 165,local.fc.165.520@clubmail.co,Spain,2025-09-20,partnership,10,66
10,Local FC 110,local.fc.110.977@hotmail.com,England,2025-09-06,referral,7,31
11,Local FC 63,local.fc.63.852@gmail.com,Ireland,2024-10-08,referral,4,55
12,Local FC 1,local.fc.1.546@contacts.org,USA,2025-04-22,referral,3,31
13,Local FC 116,local.fc.116.774@contacts.org,Spain,2025-07-17,email,4,62
14,Local FC 152,local.fc.152.254@contacts.org,India,2025-10-10,referral,6,67
15,Local FC 1,local.fc.1.881@gmail.com,Spain,2025-07-25,partnership,7,54
16,Local FC 119,local.fc.119.485@example.com,Scotland,2025-07-25,partnership,4,97
17,Local FC 91,local.fc.91.690@contacts.org,England,2025-05-03,email,8,38
18,Local FC 167,local.fc.167.460@gmail.com,USA,2025-01-06,paid_search,4,35
19,Leicester City,leicester.city.554@example.com,Ireland,2025-04-02,paid_search,10,20
20,Local FC 85,local.fc.85.169@hotmail.com,Spain,2025-11-03,email,10,63
21,Local FC 54,local.fc.54.195@example.com,India,2025-01-18,partnership,10,63
22,Local FC 119,local.fc.119.515@clubmail.co,England,2025-05-18,referral,7,53
23,Local FC 1,local.fc.1.241@gmail.com,India,2025-11-11,paid_search,10,45
24,Brighton & Hove Albion,brighton.and.hove.albion.324@contacts.org,Germany,2025-07-05,paid_search,4,81
25,Local FC 48,local.fc.48.959@clubmail.co,India,2025-03-14,organic,7,24
26,Watford,watford.903@example.com,Spain,2025-03-17,paid_search,5,52
27,Local FC 120,LOCAL.FC.120.542@EXAMPLE.COM,Spain,2025-08-04,partnership,9,72
28,Local FC 7,local.fc.7.761@hotmail.com,India,2024-12-08,paid_search,5,78
29,Local FC 33,local.fc.33.930@clubmail.co,France,2025-08-27,facebook,2,53
30,Local FC 48,local.fc.48.760@hotmail.com,Brazil,2025-03-16,organic,9,79
31,Local FC 157,local.fc.157.566@example.com,Spain,2025-07-08,facebook,3,56
32,Local FC 184,local.fc.184.256@gmail.com,Brazil,2025-10-03,email,6,36
33,Local FC 139,local.fc.139.831@hotmail.com,Wales,2025-01-08,partnership,6,87
34,Local FC 66,local.fc.66.831@contacts.org,Scotland,2025-05-12,email,3,80
35,West Ham United,west.ham.united.359@hotmail.com,Ireland,2025-03-12,paid_search,9,47
36,Newcastle United,newcastle.united.991@contacts.org,Brazil,2025-03-12,email,6,90
37,Local FC 154,notanemail,Spain,2025-05-07,paid_search,10,-999
38,Local FC 129,local.fc.129.354@clubmail.co,India,2025-06-04,referral,5,76
39,Local FC 10,LOCAL.FC.10.447@EXAMPLE.COM,Brazil,2025-04-19,partnership,10,54
40,Local FC 165,local.fc.165.681@hotmail.com,Canada,2025-04-19,organic,8,20
41,Local FC 165,local.fc.165.413@example.com,Ireland,2025-06-01,email,7,67
42,Local FC 151,local.fc.151.562@hotmail.com,Ireland,2024-10-07,email,5,49
43,Local FC 136,local.fc.136.524@contacts.org,Wales,2025-08-23,partnership,10,49
44,Local FC 2,local.fc.2.770@example.com,Ireland,2024-12-24,paid_search,5,66
45,Local FC 43,local.fc.43.425@example.com,France,2025-07-15,email,8,70
46,Local FC 83,local.fc.83.907@gmail.com,Wales,2025-04-18,partnership,6,79
47,Crystal Palace,crystal.palace.684@gmail.com,Germany,2025-08-08,email,7,53
48,Local FC 137,local.fc.137.457@example.com,USA,2025-06-25,email,9,30
49,Local FC 47,local.fc.47.642@clubmail.co,Spain,2025-03-21,paid_search,6,65
50,Local FC 50,local.fc.50.393@example.com,Scotland,2025-05-01,email,9,55
51,Local FC 85,local.fc.85.431@contacts.org,England,2025-11-16,referral,9,51
52,Local FC 78,local.fc.78.914@clubmail.co,Brazil,2025-06-18,referral,6,43
53,Local FC 37,notanemail,Canada,2025-05-24,email,6,68
54,Local FC 196,local.fc.196.929@hotmail.com,England,2024-08-10,organic,8,63
55,Local FC 145,local.fc.145.336@contacts.org,France,2025-03-26,facebook,5,58
56,Local FC 173,local.fc.173.20@contacts.org,Germany,2025-09-10,paid_search,2,59
57,Local FC 147,local.fc.147.205@gmail.com,Ireland,2025-04-23,paid_search,8,109
58,Local FC 102,local.fc.102.263@example.com,India,2025-05-28,partnership,4,66
59,Local FC 164,local.fc.164.27@hotmail.com,France,2025-05-06,email,8,36
60,Local FC 164,local.fc.164.105@example.com,Canada,2024-11-23,referral,5,75
61,Local FC 187,local.fc.187.439@example.com,Canada,2025-01-11,facebook,2,41
62,Arsenal,arsenal.651@contacts.org,Wales,2024-10-17,email,7,31
63,Local FC 26,local.fc.26.794@clubmail.co,India,2025-02-08,facebook,6,103
64,Local FC 63,local.fc.63.769@gmail.com,France,2025-09-17,facebook,8,48
65,Aston Villa,aston.villa.817@clubmail.co,India,2025-04-18,partnership,5,49
66,Local FC 51,local.fc.51.738@example.com,Ireland,2025-10-31,partnership,7,61
67,Local FC 102,notanemail,France,2025-09-27,partnership,5,69
68,Local FC 43,local.fc.43.353@example.com,Germany,2025-09-07,facebook,9,90
69,Local FC 50,local.fc.50.123@hotmail.com,Wales,2025-08-19,paid_search,10,53
70,Local FC 36,local.fc.36.538@clubmail.co,Ireland,2025-01-08,facebook,10,35
71,Local FC 39,,Spain,2025-03-31,organic,7,86
72,Burnley,burnley.106@hotmail.com,USA,2025-10-23,email,8,63
73,Local FC 93,local.fc.93.117@gmail.com,Scotland,2025-03-26,referral,6,75
74,Local FC 142,local.fc.142.312@hotmail.com,Brazil,2025-10-22,email,5,33
75,Local FC 136,local.fc.136.462@example.com,India,2025-02-17,email,5,65
76,Local FC 59,local.fc.59.971@gmail.com,Spain,2025-03-27,partnership,8,66
77,Local FC 42,local.fc.42.706@gmail.com,Ireland,2025-08-05,facebook,5,64
78,Local FC 161,local.fc.161.271@contacts.org,Canada,2025-03-21,paid_search,8,45
79,Local FC 120,local.fc.120.74@hotmail.com,India,2024-08-13,partnership,9,69
80,Local FC 192,local.fc.192.312@clubmail.co,Brazil,2025-10-15,referral,10,73
81,Local FC 107,local.fc.107.331@example.com,Ireland,2025-09-15,partnership,1,75
82,Local FC 195,local.fc.195.689@example.com,Wales,2024-11-20,email,8,43
83,Local FC 113,local.fc.113.651@clubmail.co,USA,2024-12-18,facebook,10,68
84,Local FC 85,local.fc.85.711@gmail.com,France,2025-01-06,referral,8,97
85,West Ham United,west.ham.united.792@clubmail.co,England,2025-06-05,partnership,7,44
86,Local FC 119,local.fc.119.775@gmail.com,England,2025-09-03,paid_search,7,43
87,Local FC 49,LOCAL.FC.49.125@CLUBMAIL.CO,Ireland,2025-05-12,partnership,8,66
88,Local FC 21,local.fc.21.862@gmail.com,Scotland,2025-03-24,partnership,7,76
89,Local FC 194,local.fc.194.855@clubmail.co,USA,2025-04-30,referral,7,89
90,Local FC 18,local.fc.18.885@example.com,France,2025-06-08,facebook,9,114
91,Local FC 182,local.fc.182.602@gmail.com,Wales,2025-02-03,email,8,42
92,Local FC 118,local.fc.118.467@clubmail.co,Ireland,2025-09-28,referral,10,69
93,Local FC 79,local.fc.79.723@contacts.org,Canada,2025-06-02,partnership,6,74
94,Local FC 19,local.fc.19.340@gmail.com,USA,2025-02-24,organic,10,58
95,Leicester City,leicester.city.77@contacts.org,Germany,2025-08-28,referral,10,29
96,Local FC 147,local.fc.147.390@clubmail.co,USA,2025-07-03,referral,8,77
97,West Ham United,west.ham.united.233@hotmail.com,Scotland,2025-04-02,partnership,6,35
98,Local FC 161,LOCAL.FC.161.30@CONTACTS.ORG,Spain,2025-04-07,facebook,9,67
99,Local FC 76,local.fc.76.812@hotmail.com,India,2025-09-02,email,4,63
100,Local FC 139,local.fc.139.473@contacts.org,Canada,2025-04-23,organic,7,37
101,Local FC 186,local.fc.186.453@clubmail.co,Spain,2025-03-12,partnership,10,71
102,Local FC 89,local.fc.89.394@contacts.org,France,2024-12-01,referral,3,81
103,Local FC 72,local.fc.72.406@clubmail.co,Canada,2025-11-10,partnership,8,41
104,Crystal Palace,crystal.palace.795@contacts.org,Germany,2025-02-18,paid_search,8,70
105,Local FC 143,local.fc.143.676@clubmail.co,Scotland,2025-02-18,partnership,3,137
106,Local FC 146,local.fc.146.135@contacts.org,France,2025-02-11,paid_search,5,82
107,Local FC 32,local.fc.32.514@example.com,Spain,2024-12-19,email,9,73
108,Local FC 187,local.fc.187.78@clubmail.co,Canada,2025-06-15,partnership,10,75
109,Local FC 82,local.fc.82.15@example.com,Germany,2025-08-18,partnership,3,55
110,Local FC 48,local.fc.48.26@clubmail.co,Germany,2025-07-08,referral,10,61
111,Local FC 37,local.fc.37.419@contacts.org,England,2024-06-11,facebook,2,22
