match_id,season,player_name,club_name,minutes_played,goals,assists,shots,shots_on_target,xg,xa,passes,pass_accuracy,tackles,interceptions,dribbles,dribbles_completed,sprints,distance_km,top_speed_kmh,rating
M_2019_ARS_LIV,2019-20,David Raya,Arsenal,89,0,0,0,0,0.0,0.0,33,90.0,0,0,0,0,1,4.5,28.7,6.9
M_2019_ARS_LIV,2019-20,Ben White,Arsenal,86,0,0,2,1,0.0,0.0,52,89.5,2,5,1,1,11,10.1,29.1,6.7
M_2019_ARS_LIV,2019-20,William Saliba,Arsenal,90,0,1,1,0,0.02,0.04,48,86.6,2,3,2,2,12,11.0,30.9,6.7
M_2019_ARS_LIV,2019-20,Gabriel Magalhaes,Arsenal,89,1,0,2,1,0.05,0.04,46,90.6,4,1,1,0,14,9.7,30.5,7.3
M_2019_ARS_LIV,2019-20,Oleksandr Zinchenko,Arsenal,88,0,1,2,1,0.06,0.03,47,90.3,3,5,1,0,15,9.9,32.0,7.5
M_2019_ARS_LIV,2019-20,Declan Rice,Arsenal,81,1,0,1,0,0.12,0.08,59,86.8,6,3,2,2,17,11.0,31.7,7.2
M_2019_ARS_LIV,2019-20,Martin Odegaard,Arsenal,87,2,0,2,2,0.09,0.18,80,88.1,3,5,4,0,22,10.1,28.4,8.7
M_2019_ARS_LIV,2019-20,Jorginho,Arsenal,93,1,0,0,0,0.06,0.2,88,87.1,6,1,1,1,22,11.6,28.4,7.4
M_2019_ARS_LIV,2019-20,Bukayo Saka,Arsenal,83,0,2,5,1,0.56,0.04,40,81.0,1,0,4,1,26,11.4,33.7,7.8
M_2019_ARS_LIV,2019-20,Gabriel Martinelli,Arsenal,75,2,0,1,1,0.89,0.29,29,80.4,1,2,2,0,29,10.2,30.3,8.5
M_2019_ARS_LIV,2019-20,Gabriel Jesus,Arsenal,90,2,1,5,1,0.34,0.31,33,87.6,1,2,4,3,28,10.6,31.8,8.8
M_2019_ARS_LIV,2019-20,Alisson Becker,Liverpool,91,0,0,0,0,0.0,0.0,25,92.7,0,0,0,0,1,4.2,26.0,6.7
M_2019_ARS_LIV,2019-20,Trent Alexander-Arnold,Liverpool,85,1,1,0,0,0.07,0.04,47,89.6,4,4,1,0,17,10.4,29.0,7.7
M_2019_ARS_LIV,2019-20,Virgil van Dijk,Liverpool,86,1,0,2,1,0.03,0.02,72,91.1,2,1,3,2,9,9.6,28.8,7.3
